Error Code,Errore Message,Probable Cause,Solution
211,Speech path loop-back check error,"? Optional service card malfunction: DHLC, DLC, SLC (SLC8, ESLC16, EMSLC16), CSIF, T1, E1, BRI, PRI, OPB3, E&M, IP-GW, DID, ELCOT","? See if the corresponding optional service card is installed properly.
? Pull out and re-insert the corresponding optional service card.
? Press the Reset Button
? Replace the corresponding optional service card"
212,Echo canceller access error,"? Optional service card malfunction: CSIF, EECHO","? See if the corresponding optional service card is installed properly.
? Pull out and re-insert the corresponding optional service card.
? Press the Reset Button
? Replace the corresponding optional service card"
214,DSP Boot check error,"? Optional service card malfunction: T1, E1","? See if the corresponding optional service card is installed properly.
? Pull out and re-insert the corresponding optional service card.
? Press the Reset Button
? Replace the corresponding optional service card"
215,Framer IC access error,"? Optional service card malfunction: T1, E1, BRI, PRI","? See if the corresponding optional service card is installed properly.
? Pull out and re-insert the corresponding optional service card.
? Press the Reset Button
? Replace the corresponding optional service card"
216,MSG card DSP error,"? Optional service card malfunction: MSG, OPB3","? See if the corresponding optional service card is installed properly.
? Pull out and re-insert the corresponding optional service card.
? Press the Reset Button
? Replace the corresponding optional service card"
217,MSG card data error,"? Optional service card malfunction: MSG, OPB3
? Erroneous recording of messages","? See if the corresponding optional service card is installed properly
? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Re-record the messages
? Replace the corresponding optional service card"
218,LANC register access error,? Detection of accessing error to LAN controller of CTI-LINK card,"? See if the corresponding optional service card is installed properly
? Pull out and re-insert the corresponding optional service card
? Replace the corresponding optional service card"
220,Flash ROM access error,? Detection of accessing error to Flash ROM of optional service card,"? See if the corresponding optional service card is installed properly
? Pull out and re-insert the corresponding optional service card
? Replace the corresponding optional service card"
221,BUS Controller access error,? Optional service card malfunction: BUS-S,"? See if the corresponding optional service card is installed properly
? Pull out and re-insert the corresponding optional service card
? Replace the corresponding optional service card"
000,MPR WDT overflow,"? EMPR card malfunction
? Optional service card malfunction: CTI-LINK, BUS-S
? Erroneous processing of EMPR card software
? Software error due to external factors","? Press the Reset Button
? Reprogramme the Hybrid IP-PBX
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
