error_code,error_message,probable_cause,solution,category,sub_category
1,RAM error,"A RAM on the LPR card is faulty.","Replace the LPR card (Model No. KX-TDA0196).",LPR (Optional Service Card with Local Processor) Initial Self Diagnosis,
2,Program ROM checksum error,"The program ROM on the LPR card is faulty.","Replace the LPR card (Model No. KX-TDA0196).",LPR (Optional Service Card with Local Processor) Initial Self Diagnosis,
10,MPR-LPR communication error,"The LPR card is not installed correctly.","Install the LPR card correctly.",MPR Self Diagnosis,
10,MPR-LPR communication error,"The LPR card is faulty.","Replace the LPR card.",MPR Self Diagnosis,
10,MPR-LPR communication error,"The main processing (MPR) card is faulty.","Replace the MPR card.",MPR Self Diagnosis,
11,LPR card system data file error,"The contents of the flash memory on the LPR card have been damaged.","Replace the LPR card.",MPR Self Diagnosis,
11,LPR card system data file error,"The PBX is faulty.","Consult your certified dealer.",MPR Self Diagnosis,
20,LPR card detection error,"The LPR card is not connected to the MPR card.","Connect the LPR card to the MPR card.",MPR detects LPR error,
20,LPR card detection error,"The LPR card is faulty.","Replace the LPR card.",MPR detects LPR error,
20,LPR card detection error,"The MPR card is faulty.","Replace the MPR card.",MPR detects LPR error,
31,Abnormal CTI protocol sequence error,"An incorrect CTI protocol sequence was sent from the CTI server.","Check the CTI server settings.",MPR detects LPR error,
32,CTI link disconnection error,"The CTI link has been disconnected.","Confirm that the Ethernet cable is connected correctly.",MPR detects LPR error,
33,CTI link connection error,"The CTI link cannot be established.","Confirm that the Ethernet cable is connected correctly.",MPR detects LPR error,
33,CTI link connection error,"The IP address of the PBX is incorrect.","Check the IP address of the PBX.",MPR detects LPR error,
33,CTI link connection error,"The IP address of the CTI server is incorrect.","Check the IP address of the CTI server.",MPR detects LPR error,
100,Emergency call error,"An emergency call was made.","For your information only.",System Initialisation,
101,System data file error,"The contents of the flash memory have been damaged.","Initialise the system data.",System Initialisation,
102,Main processing (MPR) card error,"The main processing (MPR) card is faulty.","Replace the MPR card.",System Initialisation,
103,Expansion shelf communication error,"Communication between the basic shelf and expansion shelves is not possible.","Check the shelf connection cable.",System Initialisation,
104,Abnormal SD card error,"The SD memory card may be damaged.","Replace the SD memory card.",System Initialisation,
105,SD card access error,"The SD memory card could not be found.","Install an SD memory card.",System Initialisation,
106,No SD card error,"An SD memory card is not installed.","Install an SD memory card.",System Initialisation,
107,SD card write error,"The SD memory card is write-protected.","Disable write-protection on the SD memory card.",System Initialisation,
108,SD card type error,"An unsupported SD memory card is installed.","Install a supported SD memory card.",System Initialisation,
109,Power failure,"A power failure occurred.","For your information only.",System Initialisation,
110,System data save error,"The system could not save the system data.","Retry saving the system data.",System Initialisation,
111,Abnormal extension connection,"The type of an extension which is connected to the PBX is different from the type specified in system programming.","Connect an extension of the type specified in system programming, or change the extension type in system programming.",System Initialisation,
112,Battery error,"The system backup battery is weak.","Replace the batteries on the MPR card.",System Initialisation,
113,No optional service card error,"An optional service card is not installed.","For your information only.",System Initialisation,
114,Optional service card self-diagnosis error,"An optional service card is faulty.","Replace the faulty optional service card.",System Initialisation,
115,License file error,"The license file is incorrect.","Install the correct license file.",System Initialisation,
116,Activation key file error,"The activation key file is incorrect.","Install the correct activation key file.",System Initialisation,
117,No activation key file error,"The activation key file is not found.","Install the activation key file.",System Initialisation,
120,Software version mismatch,"The software version of the MPR card is different from the software version of a card in an expansion shelf.","Install cards with the correct software version.",System Initialisation,
121,Hardware version mismatch,"The hardware version of a card is incorrect.","Install a card with the correct hardware version.",System Initialisation,
122,DSP resource size mismatch,"The DSP resource size does not match the size set in system programming.","For your information only. The size set in system programming will be used.",System Initialisation,
123,Card detection error,"A card cannot be detected by the system.","Replace the faulty card.",System Initialisation,
200,Date and time not set,"The date and time have not been set.","Set the date and time.",During Operation,
201,Forced CO disconnection,"A CO line call was forcibly disconnected because it exceeded the time specified in system programming.","For your information only.",During Operation,
202,System alarm,"An alarm connected to the PBX has been activated.","For your information only.",During Operation,
203,External sensor alarm,"An external sensor connected to the PBX has been activated.","For your information only.",During Operation,
204,External relay activation,"An external relay connected to the PBX has been activated.","For your information only.",During Operation,
205,External relay deactivation,"An external relay connected to the PBX has been deactivated.","For your information only.",During Operation,
206,Doorphone activation,"A doorphone connected to the PBX has been activated.","For your information only.",During Operation,
207,Door open activation,"A door opener connected to the PBX has been activated.","For your information only.",During Operation,
208,DISA security code violation,"An attempt was made to access the system using an incorrect DISA security code.","For your information only.",During Operation,
209,No password DISA security violation,"An attempt was made to access a password-protected feature without entering a password.","For your information only.",During Operation,
210,Absent message not cleared,"An outgoing message (OGM) was not cleared by the subscriber.","For your information only.",During Operation,
211,DDI call to non-existent extension,"A DDI call was made to an extension number that does not exist.","For your information only.",During Operation,
212,DDI call to unassigned DDI extension,"A DDI call was made to an extension that is not in the DDI call distribution group.","For your information only.",During Operation,
213,MSN call to non-existent extension,"An MSN call was made to an extension number that does not exist.","For your information only.",During Operation,
214,MSN call to unassigned MSN extension,"An MSN call was made to an extension that is not in the MSN call distribution group.","For your information only.",During Operation,
215,Intercept routing—no destination,"A call was intercepted, but no intercept destination is programmed.","For your information only.",During Operation,
216,Intercept routing—DDI/MSN no destination,"A DDI/MSN call was intercepted, but no intercept destination is programmed.","For your information only.",During Operation,
217,Intercept routing—trunk access denied,"A call was intercepted to an extension that does not have trunk access.","For your information only.",During Operation,
218,Intercept routing—Toll/TRS check denied,"A call was intercepted, but was denied by Toll Restriction/TRS.","For your information only.",During Operation,
219,Call barred,"The call was barred.","For your information only.",During Operation,
220,Extension lock-out,"The extension is locked.","For your information only.",During Operation,
221,ISDN cause information,"The ISDN cause information could not be received.","For your information only.",During Operation,
222,System speed dial error—no number assigned,"A system speed dialling number that has no telephone number assigned to it was dialled.","For your information only.",During Operation,
223,No idle trunk available,"All trunks are busy.","For your information only.",During Operation,
224,DISA no answer from extension,"A DISA call was not answered by the extension.","For your information only.",During Operation,
